X,Y,Z,index,lat,long,speed,date,time,air_val,dust,gsr
-14526.63695,6716967.053,0,3,51.53772,-0.130495,0.83,20524,14090021,36,0.62,538
-14507.15604,6716946.114,0,4,51.537603,-0.13032,0.53,20524,14090200,37,0.62,539
-14500.14291,6716937.165,0,5,51.537553,-0.130257,0.2,20524,14090300,38,0.62,534
-14497.35992,6716935.733,0,6,51.537545,-0.130232,0.45,20524,14090400,37,0.62,539
-14502.3693,6716939.85,0,7,51.537568,-0.130277,1.04,20524,14090500,37,0.62,539
-14501.36743,6716943.787,0,8,51.53759,-0.130268,1.71,20524,14090600,38,0.62,543
-14496.35805,6716941.997,0,9,51.53758,-0.130223,2.06,20524,14090700,38,0.62,554
-14500.81083,6716945.04,0,10,51.537597,-0.130263,1.85,20524,14090800,39,0.62,552
-14496.24673,6716946.83,0,11,51.537607,-0.130222,1.77,20524,14090900,38,0.62,545
-14489.90152,6716944.145,0,12,51.537592,-0.130165,0.21,20524,14091100,37,0.62,540
-14525.30112,6716947.724,0,13,51.537612,-0.130483,0.21,20524,14091200,37,0.62,541
-14509.71639,6716950.051,0,14,51.537625,-0.130343,2.37,20524,14091300,38,0.62,541
-14506.26548,6716948.798,0,15,51.537618,-0.130312,0.26,20524,14091400,38,0.62,554
-14499.92027,6716945.04,0,16,51.537597,-0.130255,0.7,20524,14091500,38,0.62,532
-14500.47687,6716936.091,0,17,51.537547,-0.13026,0.86,20524,14091600,37,0.62,493
-14503.25986,6716936.27,0,18,51.537548,-0.130285,0.14,20524,14091700,34,0.62,512
-14506.3768,6716934.481,0,19,51.537538,-0.130313,1.61,20524,14091800,36,0.62,515
-14501.03347,6716934.839,0,20,51.53754,-0.130265,3.44,20524,14091900,35,0.62,508
-14496.35805,6716938.06,0,21,51.537558,-0.130223,0.97,20524,14092000,35,0.62,493
-14492.90715,6716933.586,0,22,51.537533,-0.130192,0.87,20524,14092100,34,0.62,502
-14494.02034,6716938.955,0,23,51.537563,-0.130202,2.27,20524,14092200,34,0.62,502
-14494.57694,6716939.313,0,24,51.537565,-0.130207,2.27,20524,14092400,35,0.62,504
-14491.90527,6716944.324,0,25,51.537593,-0.130183,2.72,20524,14092500,35,0.62,508
-14491.01471,6716947.009,0,26,51.537608,-0.130175,2.72,20524,14092600,35,0.62,507
-14489.67888,6716949.693,0,27,51.537623,-0.130163,5.56,20524,14092700,36,0.62,515
-14487.89777,6716952.199,0,28,51.537637,-0.130147,6.03,20524,14092800,35,0.62,526
-14486.56193,6716954.883,0,29,51.537652,-0.130135,6,20524,14092900,36,0.62,533
-14485.2261,6716957.21,0,30,51.537665,-0.130123,5.1,20524,14093000,37,0.62,530
-14484.89214,6716961.147,0,31,51.537687,-0.13012,4.79,20524,14093100,36,0.62,527
-14484.89214,6716964.011,0,32,51.537703,-0.13012,4.32,20524,14093200,36,0.62,532
-14484.89214,6716968.306,0,33,51.537727,-0.13012,4.27,20524,14093300,37,0.62,529
-14484.11291,6716970.633,0,34,51.53774,-0.130113,4.21,20524,14093400,37,0.62,523
-14484.11291,6716971.885,0,35,51.537747,-0.130113,3.91,20524,14093500,36,0.62,523
-14486.22798,6716971.885,0,36,51.537747,-0.130132,3.91,20524,14093700,36,0.62,512
-14485.7827,6716972.959,0,37,51.537753,-0.130128,3.26,20524,14093800,36,0.62,520
-14485.7827,6716972.959,0,38,51.537753,-0.130128,3.26,20524,14093900,36,0.62,513
-14485.2261,6716971.885,0,39,51.537747,-0.130123,2.42,20524,14094000,35,0.62,503
-14485.11478,6716961.147,0,40,51.537687,-0.130122,1.43,20524,14094100,35,0.62,497
-14483.55631,6716951.841,0,41,51.537635,-0.130108,3.04,20524,14094200,34,0.62,496
